LexEntity,Form,Analysis
urn:cite:oldpersian:lex.1,abara,"3:pl:impft:ind:act"
urn:cite:oldpersian:lex.2,atarsa,"3:pl:impft:ind:act"
urn:cite:oldpersian:lex.3,ϑātiy,"3:s:pres:ind:act"
urn:cite:oldpersian:lex.4,adam,"masc:nom:s"
urn:cite:oldpersian:lex.4,manā,"masc:gen:s"
urn:cite:oldpersian:lex.4,ma,""
urn:cite:oldpersian:lex.5,xšāyaϑiya,"masc:nom:s"
urn:cite:oldpersian:lex.5,xšāyaϑiyānām,"masc:gen:pl"
urn:cite:oldpersian:lex.6,puça,"masc:nom:s"
urn:cite:oldpersian:lex.7,vazraka,"masc:nom:s"
urn:cite:oldpersian:lex.8,kāra,"masc:nom:s"
urn:cite:oldpersian:lex.8,kārā,"masc:instr:s"
urn:cite:oldpersian:lex.8,kāram,"masc:acc:s"
urn:cite:oldpersian:lex.9,dahyāva,"fem:nom:pl"
urn:cite:oldpersian:lex.9,dahyūnām,"fem:gen:pl"
urn:cite:oldpersian:lex.10,bājim,"fem:acc:s"
urn:cite:oldpersian:lex.11,utā,"indecl"
urn:cite:oldpersian:lex.12,vašnā,"masc:instr:s"
urn:cite:oldpersian:lex.13,tyā,""
urn:cite:oldpersian:lex.13,tyaišā,""
urn:cite:oldpersian:lex.13,tyaišām,""
urn:cite:oldpersian:lex.13,tyaiy,""
urn:cite:oldpersian:lex.14,mā,"indecl"
urn:cite:oldpersian:lex.15,imā,""
urn:cite:oldpersian:lex.15,imām,"fem:acc:s"
urn:cite:oldpersian:lex.16,parūnām,"masc:gen:pl"
urn:cite:oldpersian:lex.17,adaršiy,"1:s:imp:ind:m"
urn:cite:oldpersian:lex.18,hadā,"indecl"
urn:cite:oldpersian:lex.19,anā,"masc:s:instr"
urn:cite:oldpersian:lex.20,uškahyā,"neut:gen:s"
urn:cite:oldpersian:lex.21,drayahyā,"neut:gen:s"
urn:cite:oldpersian:lex.21,draya,"neut:acc:s"
urn:cite:oldpersian:lex.22,para,"indecl"
urn:cite:oldpersian:lex.23,hacā,"indecl"
urn:cite:oldpersian:lex.23,hacāma,"= hacā + ma"
urn:cite:oldpersian:lex.4,hacāma,"= hacā + ma"
urn:cite:oldpersian:lex.24,avaϑā,"indecl"
urn:cite:oldpersian:lex.2,tarsam,""
urn:cite:oldpersian:lex.25,yadiy,"indecl"

abiy
ahatiy
aniyanā
axšatā
duvaištam
hauvciy
hyā
maniyāhay
nirasātiy
pādiy
pāta
šiyātiš
viϑam

